# Synthetic CO2 concentration trajectories (ppm) for SSP scenarios. Plausible shapes only; not authoritative IPCC values.
Year,126,245,370,585
2015,400.00,400.00,400.00,400.00
2016,402.39,403.70,406.86,410.80
2017,404.62,407.14,413.25,420.86
2018,406.78,410.50,419.48,430.66
2019,408.92,413.80,425.61,440.30
2020,411.02,417.05,431.65,449.82
2021,413.11,420.28,437.64,459.24
2022,415.17,423.48,443.57,468.58
2023,417.23,426.65,449.47,477.85
2024,419.26,429.81,455.32,487.07
2025,421.29,432.94,461.15,496.24
2026,423.31,436.07,466.94,505.36
2027,425.32,439.17,472.71,514.44
2028,427.32,442.27,478.45,523.48
2029,429.31,445.35,484.18,532.48
2030,431.30,448.42,489.88,541.46
2031,433.28,451.49,495.56,550.40
2032,435.25,454.54,501.23,559.32
2033,437.22,457.58,506.88,568.21
2034,439.18,460.62,512.51,577.07
2035,441.14,463.64,518.13,585.92
2036,443.09,466.66,523.73,594.74
2037,445.03,469.67,529.32,603.54
2038,446.98,472.68,534.90,612.32
2039,448.91,475.68,540.47,621.08
2040,450.85,478.67,546.02,629.82
2041,452.78,481.66,551.56,638.54
2042,454.71,484.64,557.10,647.25
2043,456.63,487.61,562.62,655.94
2044,458.55,490.58,568.13,664.62
2045,460.46,493.55,573.63,673.28
2046,462.38,496.51,579.13,681.92
2047,464.29,499.46,584.61,690.56
2048,466.19,502.41,590.09,699.18
2049,468.10,505.36,595.56,707.78
2050,470.00,508.30,601.02,716.38
2051,469.50,511.24,606.47,724.96
2052,469.00,514.17,611.91,733.53
2053,468.50,517.10,617.35,742.08
2054,468.00,520.03,622.78,750.63
2055,467.50,522.95,628.21,759.17
2056,467.00,525.87,633.62,767.69
2057,466.50,528.78,639.03,776.21
2058,466.00,531.69,644.44,784.71
2059,465.50,534.60,649.83,793.21
2060,465.00,537.51,655.22,801.69
2061,464.50,540.41,660.61,810.17
2062,464.00,543.30,665.99,818.63
2063,463.50,546.20,671.36,827.09
2064,463.00,549.09,676.73,835.54
2065,462.50,551.98,682.09,843.98
2066,462.00,554.87,687.45,852.41
2067,461.50,557.75,692.80,860.83
2068,461.00,560.63,698.15,869.25
2069,460.50,563.51,703.49,877.65
2070,460.00,566.38,708.83,886.05
2071,459.50,569.26,714.16,894.44
2072,459.00,572.13,719.48,902.83
2073,458.50,574.99,724.81,911.21
2074,458.00,577.86,730.12,919.58
2075,457.50,580.72,735.44,927.94
2076,457.00,583.58,740.75,936.29
2077,456.50,586.44,746.05,944.64
2078,456.00,589.30,751.35,952.98
2079,455.50,592.15,756.65,961.32
2080,455.00,595.00,761.94,969.65
2081,454.50,595.40,767.23,977.97
2082,454.00,595.80,772.51,986.29
2083,453.50,596.20,777.79,994.60
2084,453.00,596.60,783.07,1002.90
2085,452.50,597.00,788.34,1011.20
2086,452.00,597.40,793.61,1019.49
2087,451.50,597.80,798.87,1027.78
2088,451.00,598.20,804.13,1036.06
2089,450.50,598.60,809.39,1044.33
2090,450.00,599.00,814.65,1052.60
2091,449.50,599.40,819.90,1060.86
2092,449.00,599.80,825.14,1069.12
2093,448.50,600.20,830.39,1077.38
2094,448.00,600.60,835.63,1085.62
2095,447.50,601.00,840.86,1093.86
2096,447.00,601.40,846.10,1102.10
2097,446.50,601.80,851.33,1110.33
2098,446.00,602.20,856.55,1118.56
2099,445.50,602.60,861.78,1126.78
2100,445.00,603.00,867.00,1135.00
